name,dependency
ABSSeq,R
ABSSeq,methods
ABSSeq,locfit
ABSSeq,limma
AMOUNTAIN,R
AMOUNTAIN,stats
ASEB,R
ASEB,methods
ASEB,graphics
ASEB,utils
ATACseqQC,R
ATACseqQC,BiocGenerics
ATACseqQC,S4Vectors
ATACseqQC,BSgenome
ATACseqQC,Biostrings
ATACseqQC,ChIPpeakAnno
ATACseqQC,IRanges
ATACseqQC,GenomicRanges
ATACseqQC,GenomicAlignments
ATACseqQC,GenomeInfoDb
ATACseqQC,GenomicScores
ATACseqQC,graphics
ATACseqQC,grid
ATACseqQC,limma
ATACseqQC,Rsamtools
ATACseqQC,randomForest
ATACseqQC,rtracklayer
ATACseqQC,stats
ATACseqQC,motifStack
ATACseqQC,preseqR
ATACseqQC,utils
ATACseqQC,KernSmooth
ATACseqQC,edgeR
AlphaBeta,R
AlphaBeta,dplyr
AlphaBeta,data.table
AlphaBeta,stringr
AlphaBeta,utils
AlphaBeta,gtools
AlphaBeta,optimx
AlphaBeta,expm
AlphaBeta,stats
AlphaBeta,BiocParallel
AlphaBeta,igraph
AlphaBeta,graphics
AlphaBeta,ggplot2
AlphaBeta,grDevices
AlphaBeta,plotly
AnnotationFilter,R
AnnotationFilter,utils
AnnotationFilter,methods
AnnotationFilter,GenomicRanges
AnnotationFilter,lazyeval
BANDITS,R
BANDITS,Rcpp
BANDITS,doRNG
BANDITS,MASS
BANDITS,data.table
BANDITS,R.utils
BANDITS,doParallel
BANDITS,parallel
BANDITS,foreach
BANDITS,methods
BANDITS,stats
BANDITS,graphics
BANDITS,ggplot2
BANDITS,DRIMSeq
BANDITS,BiocParallel
BEclear,BiocParallel
BEclear,futile.logger
BEclear,Rdpack
BEclear,Matrix
BEclear,data.table
BEclear,Rcpp
BEclear,abind
BEclear,stats
BEclear,graphics
BEclear,utils
BEclear,methods
BEclear,dixonTest
BEclear,ids
BRAIN,R
BRAIN,PolynomF
BRAIN,Biostrings
BRAIN,lattice
BUSseq,R
BUSseq,SingleCellExperiment
BUSseq,SummarizedExperiment
BUSseq,S4Vectors
BUSseq,gplots
BUSseq,grDevices
BUSseq,methods
BUSseq,stats
BUSseq,utils
BayesSpace,R
BayesSpace,SingleCellExperiment
BayesSpace,Rcpp
BayesSpace,stats
BayesSpace,purrr
BayesSpace,scater
BayesSpace,scran
BayesSpace,SummarizedExperiment
BayesSpace,coda
BayesSpace,rhdf5
BayesSpace,S4Vectors
BayesSpace,Matrix
BayesSpace,assertthat
BayesSpace,mclust
BayesSpace,RCurl
BayesSpace,DirichletReg
