ID,Platform,Project Name,Project ID,Version Number,Version ID,Dependency Name,Dependency Platform,Dependency Kind,Optional Dependency,Dependency Requirements,Dependency Project ID
,Bioconductor,BiocGenerics,,0.44.0,,R,Bioconductor,depends,,,
,Bioconductor,BiocGenerics,,0.44.0,,methods,Bioconductor,depends,,,
,Bioconductor,BiocGenerics,,0.44.0,,utils,Bioconductor,depends,,,
,Bioconductor,BiocGenerics,,0.44.0,,graphics,Bioconductor,depends,,,
,Bioconductor,BiocGenerics,,0.44.0,,stats,Bioconductor,depends,,,
,Bioconductor,BiocGenerics,,0.44.0,,methods,Bioconductor,imports,,,
,Bioconductor,BiocGenerics,,0.44.0,,utils,Bioconductor,imports,,,
,Bioconductor,BiocGenerics,,0.44.0,,graphics,Bioconductor,imports,,,
,Bioconductor,BiocGenerics,,0.44.0,,stats,Bioconductor,imports,,,
,Bioconductor,S4Vectors,,0.36.1,,R,Bioconductor,depends,,,
,Bioconductor,S4Vectors,,0.36.1,,methods,Bioconductor,depends,,,
,Bioconductor,S4Vectors,,0.36.1,,utils,Bioconductor,depends,,,
,Bioconductor,S4Vectors,,0.36.1,,stats,Bioconductor,depends,,,
,Bioconductor,S4Vectors,,0.36.1,,stats4,Bioconductor,depends,,,
,Bioconductor,S4Vectors,,0.36.1,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,BiocVersion,,3.16.0,,R,Bioconductor,depends,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,R,Bioconductor,depends,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,methods,Bioconductor,depends,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,IRanges,Bioconductor,depends,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,stats,Bioconductor,imports,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,stats4,Bioconductor,imports,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,utils,Bioconductor,imports,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,RCurl,Bioconductor,imports,,,
,Bioconductor,GenomeInfoDb,,1.34.9,,GenomeInfoDbData,Bioconductor,imports,,,
,Bioconductor,IRanges,,2.32.0,,R,Bioconductor,depends,,,
,Bioconductor,IRanges,,2.32.0,,methods,Bioconductor,depends,,,
,Bioconductor,IRanges,,2.32.0,,utils,Bioconductor,depends,,,
,Bioconductor,IRanges,,2.32.0,,stats,Bioconductor,depends,,,
,Bioconductor,IRanges,,2.32.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,IRanges,,2.32.0,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,IRanges,,2.32.0,,stats4,Bioconductor,imports,,,
,Bioconductor,Biobase,,2.58.0,,R,Bioconductor,depends,,,
,Bioconductor,Biobase,,2.58.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,Biobase,,2.58.0,,utils,Bioconductor,depends,,,
,Bioconductor,Biobase,,2.58.0,,methods,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,R,Bioconductor,depends,,,
,Bioconductor,XVector,,0.38.0,,methods,Bioconductor,depends,,,
,Bioconductor,XVector,,0.38.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,XVector,,0.38.0,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,XVector,,0.38.0,,IRanges,Bioconductor,depends,,,
,Bioconductor,XVector,,0.38.0,,methods,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,utils,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,tools,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,zlibbioc,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,BiocGenerics,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,S4Vectors,Bioconductor,imports,,,
,Bioconductor,XVector,,0.38.0,,IRanges,Bioconductor,imports,,,
,Bioconductor,Biostrings,,2.66.0,,R,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,methods,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,BiocGenerics,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,S4Vectors,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,IRanges,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,XVector,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,GenomeInfoDb,Bioconductor,depends,,,
,Bioconductor,Biostrings,,2.66.0,,methods,Bioconductor,imports,,,
,Bioconductor,Biostrings,,2.66.0,,utils,Bioconductor,imports,,,
,Bioconductor,Biostrings,,2.66.0,,grDevices,Bioconductor,imports,,,
,Bioconductor,Biostrings,,2.66.0,,graphics,Bioconductor,imports,,,
,Bioconductor,Biostrings,,2.66.0,,stats,Bioconductor,imports,,,
,Bioconductor,Biostrings,,2.66.0,,crayon,Bioconductor,imports,,,
,Bioconductor,BiocParallel,,1.32.5,,methods,Bioconductor,depends,,,
,Bioconductor,BiocParallel,,1.32.5,,R,Bioconductor,depends,,,
,Bioconductor,BiocParallel,,1.32.5,,stats,Bioconductor,imports,,,
